DataNames,SizesAll,ClustersAll,FixedAll
aggregation,788,7,2
aligned_bananas,500,2,1
arcs,104,4,2
balls_and_baguettes,500,5,1
bars,500,2,1
boat,500,3,1
cigar,500,4,1
circle_2_rectangles,500,3,1
circle_and_3_gaussians,500,4,1
concentric_circles_3,500,3,1
enclosure,622,3,2
filled_circle,500,2,1
filled_circle_2,500,4,1
flower,500,5,1
four_corners_clear,500,4,1
four_corners_noise,500,4,1
four_lines,500,4,1
gaussians_1_big_2_small,500,3,1
gaussians_3_touching,500,3,1
gaussians_5_compact,500,5,1
gaussians_5_unequal,500,5,1
gestalt,399,6,2
half_rings,500,2,1
happy_wave,500,2,1
orange,500,2,1
petals,500,4,1
random1,500,4,1
random2,500,6,1
random3,500,7,1
randomised_normal,500,9,1
randomised_triangle,500,10,1
saturn,500,2,1
sixteen_blocks,256,16,2
spirals,500,3,1
stormclouds,500,2,1
t_and_u,500,2,1
ten_spherical,500,10,1
three_by_three,500,9,1
three_circles,500,3,1
two_diamonds,500,2,1
two_u,260,2,2
wingnut,500,2,1
worms,500,4,1
xor,500,4,1
xor_big_and_small,500,4,1
xor_different_cardinalities,500,4,1
yin_yang,515,4,2
atom,500,2,1
chainlink,500,2,1
hepta,500,7,1
tetra,500,4,1
torus_and_rod,500,2,1
