,0,1,2,3,4
0,1.0,1.0,1.0,1.0,0
1,1.0,1.0,1.0,2.0,2
2,1.0,1.0,1.0,3.0,2
3,1.0,1.0,1.0,4.0,2
4,1.0,1.0,1.0,5.0,2
5,1.0,1.0,2.0,1.0,2
6,1.0,1.0,2.0,2.0,2
7,1.0,1.0,2.0,3.0,2
8,1.0,1.0,2.0,4.0,2
9,1.0,1.0,2.0,5.0,2
10,1.0,1.0,3.0,1.0,2
11,1.0,1.0,3.0,3.0,2
12,1.0,1.0,3.0,4.0,2
13,1.0,1.0,3.0,5.0,2
14,1.0,1.0,4.0,1.0,2
15,1.0,1.0,4.0,2.0,2
16,1.0,1.0,4.0,3.0,2
17,1.0,1.0,4.0,4.0,2
18,1.0,1.0,4.0,5.0,2
19,1.0,1.0,5.0,1.0,2
20,1.0,1.0,5.0,2.0,2
21,1.0,1.0,5.0,3.0,2
22,1.0,1.0,5.0,4.0,2
23,1.0,1.0,5.0,5.0,2
24,1.0,2.0,1.0,1.0,1
25,1.0,2.0,1.0,2.0,0
26,1.0,2.0,1.0,3.0,2
27,1.0,2.0,1.0,4.0,2
28,1.0,2.0,1.0,5.0,2
29,1.0,2.0,2.0,1.0,0
30,1.0,2.0,2.0,2.0,2
31,1.0,2.0,2.0,3.0,2
32,1.0,2.0,2.0,4.0,2
33,1.0,2.0,2.0,5.0,2
34,1.0,2.0,3.0,1.0,2
35,1.0,2.0,3.0,2.0,2
36,1.0,2.0,3.0,3.0,2
37,1.0,2.0,3.0,4.0,2
38,1.0,2.0,3.0,5.0,2
39,1.0,2.0,4.0,1.0,2
40,1.0,2.0,4.0,2.0,2
41,1.0,2.0,4.0,3.0,2
42,1.0,2.0,4.0,4.0,2
43,1.0,2.0,4.0,5.0,2
44,1.0,2.0,5.0,1.0,2
45,1.0,2.0,5.0,2.0,2
46,1.0,2.0,5.0,3.0,2
47,1.0,2.0,5.0,4.0,2
48,1.0,2.0,5.0,5.0,2
49,1.0,3.0,1.0,1.0,1
50,1.0,3.0,1.0,2.0,1
51,1.0,3.0,1.0,3.0,0
52,1.0,3.0,1.0,4.0,2
53,1.0,3.0,1.0,5.0,2
54,1.0,3.0,2.0,1.0,1
55,1.0,3.0,2.0,2.0,2
56,1.0,3.0,2.0,3.0,2
57,1.0,3.0,2.0,4.0,2
58,1.0,3.0,2.0,5.0,2
59,1.0,3.0,3.0,1.0,0
60,1.0,3.0,3.0,2.0,2
61,1.0,3.0,3.0,4.0,2
62,1.0,3.0,3.0,5.0,2
63,1.0,3.0,4.0,1.0,2
64,1.0,3.0,4.0,2.0,2
65,1.0,3.0,4.0,3.0,2
66,1.0,3.0,4.0,5.0,2
67,1.0,3.0,5.0,1.0,2
68,1.0,3.0,5.0,2.0,2
69,1.0,3.0,5.0,3.0,2
70,1.0,3.0,5.0,4.0,2
71,1.0,3.0,5.0,5.0,2
72,1.0,4.0,1.0,1.0,1
73,1.0,4.0,1.0,2.0,1
74,1.0,4.0,1.0,3.0,1
75,1.0,4.0,1.0,4.0,0
76,1.0,4.0,1.0,5.0,2
77,1.0,4.0,2.0,2.0,0
78,1.0,4.0,2.0,3.0,2
79,1.0,4.0,2.0,4.0,2
80,1.0,4.0,2.0,5.0,2
81,1.0,4.0,3.0,1.0,1
82,1.0,4.0,3.0,2.0,2
83,1.0,4.0,3.0,3.0,2
84,1.0,4.0,3.0,4.0,2
85,1.0,4.0,3.0,5.0,2
86,1.0,4.0,4.0,1.0,0
87,1.0,4.0,4.0,2.0,2
88,1.0,4.0,4.0,3.0,2
89,1.0,4.0,4.0,4.0,2
90,1.0,4.0,4.0,5.0,2
91,1.0,4.0,5.0,2.0,2
92,1.0,4.0,5.0,4.0,2
93,1.0,4.0,5.0,5.0,2
94,1.0,5.0,1.0,1.0,1
95,1.0,5.0,1.0,2.0,1
96,1.0,5.0,1.0,3.0,1
97,1.0,5.0,1.0,4.0,1
98,1.0,5.0,1.0,5.0,0
99,1.0,5.0,2.0,1.0,1
100,1.0,5.0,2.0,2.0,1
101,1.0,5.0,2.0,4.0,2
102,1.0,5.0,2.0,5.0,2
103,1.0,5.0,3.0,1.0,1
104,1.0,5.0,3.0,2.0,2
105,1.0,5.0,3.0,3.0,2
106,1.0,5.0,3.0,4.0,2
107,1.0,5.0,3.0,5.0,2
108,1.0,5.0,4.0,1.0,1
109,1.0,5.0,4.0,2.0,2
110,1.0,5.0,4.0,4.0,2
111,1.0,5.0,4.0,5.0,2
112,1.0,5.0,5.0,1.0,0
113,1.0,5.0,5.0,3.0,2
114,1.0,5.0,5.0,4.0,2
115,2.0,1.0,1.0,1.0,1
116,2.0,1.0,1.0,2.0,0
117,2.0,1.0,1.0,4.0,2
118,2.0,1.0,1.0,5.0,2
119,2.0,1.0,2.0,1.0,0
120,2.0,1.0,2.0,2.0,2
121,2.0,1.0,2.0,3.0,2
122,2.0,1.0,2.0,4.0,2
123,2.0,1.0,2.0,5.0,2
124,2.0,1.0,3.0,1.0,2
125,2.0,1.0,3.0,2.0,2
126,2.0,1.0,3.0,4.0,2
127,2.0,1.0,3.0,5.0,2
128,2.0,1.0,4.0,1.0,2
129,2.0,1.0,4.0,3.0,2
130,2.0,1.0,4.0,4.0,2
131,2.0,1.0,4.0,5.0,2
132,2.0,1.0,5.0,1.0,2
133,2.0,1.0,5.0,2.0,2
134,2.0,1.0,5.0,3.0,2
135,2.0,1.0,5.0,4.0,2
136,2.0,1.0,5.0,5.0,2
137,2.0,2.0,1.0,1.0,1
138,2.0,2.0,1.0,2.0,1
139,2.0,2.0,1.0,3.0,1
140,2.0,2.0,1.0,4.0,0
141,2.0,2.0,1.0,5.0,2
142,2.0,2.0,2.0,1.0,1
143,2.0,2.0,2.0,2.0,0
144,2.0,2.0,2.0,3.0,2
145,2.0,2.0,2.0,4.0,2
146,2.0,2.0,2.0,5.0,2
147,2.0,2.0,3.0,1.0,1
148,2.0,2.0,3.0,2.0,2
149,2.0,2.0,3.0,3.0,2
150,2.0,2.0,3.0,4.0,2
151,2.0,2.0,3.0,5.0,2
152,2.0,2.0,4.0,1.0,0
153,2.0,2.0,4.0,3.0,2
154,2.0,2.0,4.0,4.0,2
155,2.0,2.0,4.0,5.0,2
156,2.0,2.0,5.0,1.0,2
157,2.0,2.0,5.0,2.0,2
158,2.0,2.0,5.0,3.0,2
159,2.0,2.0,5.0,4.0,2
160,2.0,2.0,5.0,5.0,2
161,2.0,3.0,1.0,1.0,1
162,2.0,3.0,1.0,2.0,1
163,2.0,3.0,1.0,3.0,1
164,2.0,3.0,1.0,4.0,1
165,2.0,3.0,1.0,5.0,1
166,2.0,3.0,2.0,2.0,1
167,2.0,3.0,2.0,4.0,2
168,2.0,3.0,2.0,5.0,2
169,2.0,3.0,3.0,1.0,1
170,2.0,3.0,3.0,2.0,0
171,2.0,3.0,3.0,3.0,2
172,2.0,3.0,3.0,4.0,2
173,2.0,3.0,3.0,5.0,2
174,2.0,3.0,4.0,1.0,1
175,2.0,3.0,4.0,2.0,2
176,2.0,3.0,4.0,3.0,2
177,2.0,3.0,4.0,4.0,2
178,2.0,3.0,4.0,5.0,2
179,2.0,3.0,5.0,1.0,1
180,2.0,3.0,5.0,2.0,2
181,2.0,3.0,5.0,3.0,2
182,2.0,3.0,5.0,4.0,2
183,2.0,3.0,5.0,5.0,2
184,2.0,4.0,1.0,1.0,1
185,2.0,4.0,1.0,2.0,1
186,2.0,4.0,1.0,3.0,1
187,2.0,4.0,1.0,4.0,1
188,2.0,4.0,1.0,5.0,1
189,2.0,4.0,2.0,1.0,1
190,2.0,4.0,2.0,3.0,1
191,2.0,4.0,2.0,4.0,0
192,2.0,4.0,2.0,5.0,2
193,2.0,4.0,3.0,1.0,1
194,2.0,4.0,3.0,2.0,1
195,2.0,4.0,3.0,3.0,2
196,2.0,4.0,3.0,4.0,2
197,2.0,4.0,3.0,5.0,2
198,2.0,4.0,4.0,1.0,1
199,2.0,4.0,4.0,2.0,0
200,2.0,4.0,4.0,4.0,2
201,2.0,4.0,4.0,5.0,2
202,2.0,4.0,5.0,1.0,1
203,2.0,4.0,5.0,3.0,2
204,2.0,4.0,5.0,4.0,2
205,2.0,4.0,5.0,5.0,2
206,2.0,5.0,1.0,1.0,1
207,2.0,5.0,1.0,2.0,1
208,2.0,5.0,1.0,3.0,1
209,2.0,5.0,1.0,4.0,1
210,2.0,5.0,1.0,5.0,1
211,2.0,5.0,2.0,1.0,1
212,2.0,5.0,2.0,2.0,1
213,2.0,5.0,2.0,3.0,1
214,2.0,5.0,2.0,4.0,1
215,2.0,5.0,2.0,5.0,0
216,2.0,5.0,3.0,1.0,1
217,2.0,5.0,3.0,2.0,1
218,2.0,5.0,3.0,3.0,1
219,2.0,5.0,4.0,1.0,1
220,2.0,5.0,4.0,2.0,1
221,2.0,5.0,4.0,3.0,2
222,2.0,5.0,4.0,5.0,2
223,2.0,5.0,5.0,1.0,1
224,2.0,5.0,5.0,2.0,0
225,2.0,5.0,5.0,3.0,2
