,0,1,2,3,4,5,6
0,85.0,92.0,45.0,27.0,31.0,0.0,1
1,85.0,64.0,59.0,32.0,23.0,0.0,2
2,86.0,54.0,33.0,16.0,54.0,0.0,2
3,91.0,78.0,34.0,24.0,36.0,0.0,2
4,98.0,55.0,13.0,17.0,17.0,0.0,2
5,88.0,62.0,20.0,17.0,9.0,0.5,1
6,88.0,67.0,21.0,11.0,11.0,0.5,1
7,92.0,54.0,22.0,20.0,7.0,0.5,1
8,90.0,60.0,25.0,19.0,5.0,0.5,1
9,89.0,52.0,13.0,24.0,15.0,0.5,1
10,82.0,62.0,17.0,17.0,15.0,0.5,1
11,86.0,77.0,25.0,19.0,18.0,0.5,1
12,96.0,67.0,29.0,20.0,11.0,0.5,1
13,91.0,78.0,20.0,31.0,18.0,0.5,1
14,89.0,67.0,23.0,16.0,10.0,0.5,1
15,89.0,79.0,17.0,17.0,16.0,0.5,1
16,91.0,107.0,20.0,20.0,56.0,0.5,1
17,94.0,116.0,11.0,33.0,11.0,0.5,1
18,92.0,59.0,35.0,13.0,19.0,0.5,1
19,93.0,23.0,35.0,20.0,20.0,0.5,1
20,92.0,70.0,24.0,13.0,26.0,0.5,1
21,90.0,47.0,28.0,15.0,18.0,0.5,1
22,88.0,66.0,20.0,21.0,10.0,0.5,1
23,91.0,102.0,17.0,13.0,19.0,0.5,1
24,87.0,41.0,31.0,19.0,16.0,0.5,1
25,86.0,79.0,28.0,16.0,17.0,0.5,1
26,93.0,77.0,32.0,18.0,29.0,0.5,1
27,88.0,96.0,28.0,21.0,40.0,0.5,1
28,94.0,65.0,22.0,18.0,11.0,0.5,1
29,91.0,72.0,155.0,68.0,82.0,0.5,2
30,85.0,54.0,47.0,33.0,22.0,0.5,2
31,85.0,85.0,25.0,26.0,30.0,0.5,2
32,89.0,63.0,24.0,20.0,38.0,0.5,2
33,84.0,92.0,68.0,37.0,44.0,0.5,2
34,89.0,68.0,26.0,39.0,42.0,0.5,2
35,89.0,101.0,18.0,25.0,13.0,0.5,2
36,86.0,84.0,18.0,14.0,16.0,0.5,2
37,85.0,65.0,25.0,14.0,18.0,0.5,2
38,88.0,61.0,19.0,21.0,13.0,0.5,2
39,92.0,56.0,14.0,16.0,10.0,0.5,2
40,95.0,50.0,29.0,25.0,50.0,0.5,2
41,91.0,75.0,24.0,22.0,11.0,0.5,2
42,89.0,74.0,19.0,23.0,16.0,0.5,2
43,85.0,64.0,24.0,22.0,11.0,0.5,2
44,92.0,57.0,64.0,36.0,90.0,0.5,2
45,94.0,48.0,11.0,23.0,43.0,0.5,2
46,87.0,52.0,21.0,19.0,30.0,0.5,2
47,85.0,65.0,23.0,29.0,15.0,0.5,2
48,84.0,82.0,21.0,21.0,19.0,0.5,2
49,88.0,49.0,20.0,22.0,19.0,0.5,2
50,96.0,67.0,26.0,26.0,36.0,0.5,2
51,90.0,63.0,24.0,24.0,24.0,0.5,2
52,90.0,45.0,33.0,34.0,27.0,0.5,2
53,90.0,72.0,14.0,15.0,18.0,0.5,2
54,91.0,55.0,4.0,8.0,13.0,0.5,2
55,91.0,52.0,15.0,22.0,11.0,0.5,2
56,87.0,71.0,32.0,19.0,27.0,1.0,1
57,89.0,77.0,26.0,20.0,19.0,1.0,1
58,89.0,67.0,5.0,17.0,14.0,1.0,2
