,0,1,2,3,4,5,6,7
0,49.0,29.0,48.0,5.0,56.0,24.0,35.0,0
1,7.0,4.0,48.0,5.0,54.0,35.0,44.0,0
2,56.0,4.0,48.0,5.0,49.0,37.0,46.0,0
3,59.0,49.0,48.0,5.0,52.0,45.0,36.0,0
4,23.0,32.0,48.0,5.0,55.0,25.0,35.0,0
5,67.0,39.0,48.0,5.0,36.0,38.0,46.0,0
6,29.0,28.0,48.0,5.0,44.0,23.0,34.0,0
7,21.0,34.0,48.0,5.0,51.0,28.0,39.0,0
8,2.0,44.0,48.0,5.0,46.0,51.0,57.0,0
9,42.0,4.0,48.0,5.0,56.0,18.0,3.0,0
10,42.0,24.0,48.0,5.0,57.0,27.0,37.0,0
11,25.0,48.0,48.0,5.0,44.0,17.0,29.0,0
12,39.0,32.0,48.0,5.0,46.0,24.0,35.0,0
13,51.0,5.0,48.0,5.0,46.0,32.0,35.0,0
14,22.0,43.0,48.0,5.0,48.0,16.0,28.0,0
15,25.0,4.0,48.0,5.0,46.0,44.0,52.0,0
16,34.0,45.0,48.0,5.0,38.0,24.0,35.0,0
17,44.0,27.0,48.0,5.0,55.0,52.0,58.0,0
18,23.0,4.0,48.0,5.0,39.0,28.0,38.0,0
19,41.0,57.0,48.0,5.0,39.0,21.0,32.0,0
20,4.0,45.0,48.0,5.0,38.0,22.0,0.0,0
21,31.0,23.0,48.0,5.0,73.0,5.0,14.0,0
22,51.0,54.0,48.0,5.0,41.0,34.0,43.0,0
23,3.0,16.0,48.0,5.0,56.0,11.0,23.0,0
24,36.0,39.0,48.0,5.0,48.0,22.0,23.0,0
25,29.0,37.0,48.0,5.0,48.0,44.0,52.0,0
26,25.0,4.0,48.0,5.0,47.0,33.0,42.0,0
27,21.0,51.0,48.0,5.0,5.0,32.0,41.0,0
28,43.0,37.0,48.0,5.0,53.0,35.0,44.0,0
29,43.0,39.0,48.0,5.0,47.0,31.0,41.0,0
30,53.0,38.0,48.0,5.0,44.0,26.0,36.0,0
31,34.0,33.0,48.0,5.0,38.0,35.0,44.0,0
32,56.0,51.0,48.0,5.0,34.0,37.0,46.0,0
33,4.0,29.0,48.0,5.0,42.0,35.0,44.0,0
34,24.0,35.0,48.0,5.0,31.0,19.0,31.0,0
35,36.0,54.0,48.0,5.0,41.0,38.0,46.0,0
36,29.0,52.0,48.0,5.0,42.0,29.0,39.0,0
37,65.0,47.0,48.0,5.0,59.0,3.0,4.0,0
38,32.0,42.0,48.0,5.0,35.0,28.0,38.0,0
39,38.0,46.0,48.0,5.0,48.0,22.0,29.0,0
40,33.0,45.0,48.0,5.0,52.0,32.0,41.0,0
41,3.0,37.0,48.0,5.0,59.0,41.0,49.0,0
42,4.0,5.0,48.0,5.0,45.0,39.0,47.0,0
43,28.0,38.0,48.0,5.0,5.0,33.0,42.0,0
44,61.0,45.0,48.0,5.0,48.0,35.0,41.0,0
45,17.0,38.0,48.0,5.0,45.0,42.0,5.0,0
46,44.0,35.0,48.0,5.0,55.0,55.0,61.0,0
47,43.0,4.0,48.0,5.0,39.0,28.0,39.0,0
48,42.0,35.0,48.0,5.0,58.0,15.0,27.0,0
49,23.0,33.0,48.0,5.0,43.0,33.0,43.0,0
50,37.0,52.0,48.0,5.0,42.0,42.0,36.0,0
51,29.0,3.0,48.0,5.0,45.0,3.0,17.0,0
52,22.0,36.0,48.0,5.0,35.0,39.0,47.0,0
53,23.0,58.0,48.0,5.0,37.0,53.0,59.0,0
54,47.0,47.0,48.0,5.0,22.0,16.0,26.0,0
55,54.0,47.0,48.0,5.0,28.0,33.0,42.0,0
56,51.0,37.0,48.0,5.0,35.0,36.0,45.0,0
57,4.0,35.0,48.0,5.0,45.0,33.0,42.0,0
58,44.0,34.0,48.0,5.0,3.0,33.0,43.0,0
59,42.0,38.0,48.0,5.0,54.0,34.0,43.0,0
60,44.0,56.0,48.0,5.0,5.0,46.0,54.0,0
61,52.0,36.0,48.0,5.0,41.0,28.0,38.0,0
62,36.0,41.0,48.0,5.0,48.0,47.0,54.0,0
63,18.0,3.0,48.0,5.0,46.0,24.0,35.0,0
64,47.0,29.0,48.0,5.0,51.0,33.0,43.0,0
65,24.0,43.0,48.0,5.0,54.0,52.0,59.0,0
66,25.0,37.0,48.0,5.0,41.0,33.0,42.0,0
67,52.0,57.0,48.0,5.0,42.0,47.0,54.0,0
68,25.0,37.0,48.0,5.0,43.0,26.0,36.0,0
69,35.0,48.0,48.0,5.0,56.0,4.0,48.0,0
70,26.0,26.0,48.0,5.0,34.0,25.0,35.0,0
71,44.0,51.0,48.0,5.0,47.0,26.0,36.0,0
72,37.0,5.0,48.0,5.0,42.0,36.0,45.0,0
73,44.0,42.0,48.0,5.0,42.0,25.0,2.0,0
74,24.0,43.0,48.0,5.0,37.0,28.0,38.0,0
75,42.0,3.0,48.0,5.0,48.0,26.0,36.0,0
76,48.0,42.0,48.0,5.0,45.0,25.0,35.0,0
77,41.0,48.0,48.0,5.0,51.0,44.0,51.0,0
78,44.0,28.0,48.0,5.0,43.0,27.0,37.0,0
79,29.0,41.0,48.0,5.0,48.0,38.0,46.0,0
80,34.0,28.0,48.0,5.0,41.0,35.0,44.0,0
81,41.0,43.0,48.0,5.0,45.0,31.0,41.0,0
82,29.0,47.0,48.0,5.0,41.0,23.0,34.0,0
83,34.0,55.0,48.0,5.0,58.0,31.0,41.0,0
84,36.0,56.0,48.0,5.0,43.0,45.0,53.0,0
85,4.0,46.0,48.0,5.0,52.0,49.0,56.0,0
86,5.0,49.0,48.0,5.0,49.0,46.0,53.0,0
87,52.0,44.0,48.0,5.0,37.0,36.0,42.0,0
88,5.0,51.0,48.0,5.0,27.0,23.0,34.0,0
89,53.0,42.0,48.0,5.0,16.0,29.0,39.0,0
90,34.0,46.0,48.0,5.0,52.0,35.0,44.0,0
91,4.0,42.0,48.0,5.0,37.0,27.0,27.0,0
92,41.0,43.0,48.0,5.0,5.0,24.0,25.0,0
93,3.0,45.0,48.0,5.0,36.0,21.0,32.0,0
94,31.0,47.0,48.0,5.0,29.0,28.0,39.0,0
95,64.0,76.0,48.0,5.0,45.0,35.0,38.0,0
96,35.0,37.0,48.0,5.0,3.0,34.0,43.0,0
97,57.0,54.0,48.0,5.0,37.0,28.0,33.0,0
98,65.0,55.0,48.0,5.0,34.0,37.0,28.0,0
99,51.0,46.0,48.0,5.0,58.0,31.0,41.0,0
100,38.0,4.0,48.0,5.0,63.0,25.0,35.0,0
101,24.0,57.0,48.0,5.0,63.0,34.0,43.0,0
102,38.0,26.0,48.0,5.0,54.0,16.0,28.0,0
103,33.0,47.0,48.0,5.0,53.0,18.0,29.0,0
104,24.0,34.0,48.0,5.0,38.0,3.0,4.0,0
105,26.0,5.0,48.0,5.0,44.0,32.0,41.0,0
106,44.0,49.0,48.0,5.0,39.0,38.0,4.0,0
107,43.0,32.0,48.0,5.0,33.0,45.0,52.0,0
108,49.0,43.0,48.0,5.0,49.0,3.0,4.0,0
109,47.0,28.0,48.0,5.0,56.0,2.0,25.0,0
110,32.0,33.0,48.0,5.0,6.0,6.0,2.0,0
111,34.0,35.0,48.0,5.0,51.0,49.0,56.0,0
112,35.0,34.0,48.0,5.0,46.0,3.0,27.0,0
113,38.0,3.0,48.0,5.0,43.0,29.0,39.0,0
114,38.0,44.0,48.0,5.0,43.0,2.0,31.0,0
115,41.0,51.0,48.0,5.0,58.0,2.0,31.0,0
