,0,1,2,3,4
0,2,1,1,2,1
1,2,1,3,2,2
2,3,1,4,1,3
3,2,4,2,2,3
4,1,1,3,4,3
5,1,1,3,2,2
6,3,1,3,2,2
7,3,4,2,4,3
8,2,2,1,1,1
9,1,2,1,1,1
10,2,2,3,4,3
11,1,1,2,1,1
12,2,1,2,2,2
13,2,4,1,4,3
14,1,1,3,3,1
15,3,2,1,2,2
16,1,2,1,1,1
17,3,1,3,2,1
18,1,2,2,1,2
19,3,2,1,3,1
20,2,1,2,1,1
21,3,2,1,3,1
22,2,3,2,1,1
23,3,2,2,1,2
24,3,2,1,3,2
25,2,1,2,2,2
26,1,1,3,2,1
27,1,4,1,1,3
28,2,2,1,3,1
29,1,2,1,3,2
30,1,1,1,2,1
31,2,4,3,1,3
32,3,1,2,2,2
33,3,2,2,1,2
34,1,2,1,2,2
35,2,2,2,1,2
36,2,2,1,2,2
37,3,2,1,3,2
38,3,2,1,1,1
39,3,1,2,1,1
40,1,2,1,3,2
41,2,1,1,2,1
42,1,1,1,2,1
43,1,2,2,3,2
44,3,3,3,1,1
45,3,2,1,2,2
46,3,2,1,2,2
47,3,1,2,1,1
48,1,1,1,2,1
49,2,1,3,2,1
50,2,2,2,1,2
51,2,1,2,1,1
52,2,2,1,3,1
53,2,1,2,2,2
54,1,2,4,2,3
55,2,2,1,2,2
56,1,1,2,4,3
57,1,3,2,1,1
58,2,4,4,2,3
59,2,3,2,1,1
60,3,1,2,2,2
61,1,1,2,2,2
62,1,3,2,4,3
63,1,1,2,2,2
64,3,1,4,2,3
65,2,1,3,2,2
66,1,1,3,2,2
67,3,1,3,2,1
68,1,2,4,4,3
69,1,4,2,1,3
70,2,1,2,1,1
71,3,4,1,2,3
72,2,2,4,3,3
73,3,1,2,2,2
74,1,1,3,2,1
75,1,2,1,3,1
76,3,3,3,2,2
77,2,2,1,3,2
78,3,3,2,1,2
79,1,1,1,3,1
80,2,2,2,1,2
81,2,3,2,3,2
82,1,3,2,1,2
83,2,2,1,2,2
84,1,1,1,2,1
85,3,2,2,1,2
86,3,2,1,1,1
87,1,1,2,1,1
88,3,1,4,4,3
89,3,3,2,1,2
90,2,3,2,1,2
91,2,1,3,1,1
92,1,2,1,2,2
93,3,1,1,2,1
94,1,2,2,1,2
95,2,3,2,1,2
96,2,2,1,4,3
97,1,4,2,3,3
98,2,2,1,1,1
99,1,2,1,1,1
100,2,2,3,2,2
101,1,3,2,1,1
102,3,1,2,1,1
103,3,1,1,2,1
104,3,3,1,4,3
105,2,3,4,1,3
106,1,2,3,3,2
107,3,3,4,2,3
108,1,2,2,1,2
109,3,1,2,2,2
110,3,2,2,4,3
111,2,3,1,3,1
112,2,1,1,2,1
113,3,4,1,3,3
114,1,1,4,3,3
115,2,1,2,1,1
116,1,2,1,2,2
117,1,2,2,1,2
118,3,1,1,2,1
119,3,2,1,1,1
120,3,3,2,1,1
121,3,2,1,1,1
122,1,1,2,2,2
123,3,4,3,2,3
124,3,3,1,1,1
125,2,2,1,1,1
126,1,1,2,1,1
127,1,4,4,1,3
128,2,2,1,2,2
129,2,2,4,1,3
130,3,3,2,2,2
131,2,1,1,4,3
132,1,1,1,2,1
133,1,1,2,1,1
134,1,2,1,1,1
135,1,1,1,3,1
136,1,1,3,1,1
137,1,3,1,1,1
138,1,1,3,3,1
139,1,3,1,3,1
140,1,3,3,1,1
141,1,2,2,1,2
142,1,2,1,2,2
143,1,1,2,2,2
144,1,2,2,3,2
145,1,2,3,2,2
146,1,3,2,2,2
147,1,2,3,3,2
148,1,3,2,3,2
149,1,3,3,2,2
150,1,1,3,2,1
151,1,3,2,1,2
152,1,2,1,3,1
153,1,2,3,1,2
154,1,1,2,3,1
155,1,3,1,2,2
156,1,1,1,1,1
157,1,2,2,2,2
158,1,3,3,3,1
159,1,4,4,4,3
