,0,1,2,3,4
0,5.1,3.5,1.4,0.2,0
1,4.9,3.0,1.4,0.2,0
2,4.6,3.1,1.5,0.2,0
3,5.0,3.6,1.4,0.2,0
4,5.4,3.9,1.7,0.4,0
5,4.6,3.4,1.4,0.3,0
6,5.0,3.4,1.5,0.2,0
7,4.4,2.9,1.4,0.2,0
8,5.4,3.7,1.5,0.2,0
9,4.8,3.4,1.6,0.2,0
10,4.8,3.0,1.4,0.1,0
11,4.3,3.0,1.1,0.1,0
12,5.7,4.4,1.5,0.4,0
13,5.4,3.9,1.3,0.4,0
14,5.1,3.5,1.4,0.3,0
15,5.7,3.8,1.7,0.3,0
16,5.1,3.8,1.5,0.3,0
17,5.4,3.4,1.7,0.2,0
18,5.1,3.7,1.5,0.4,0
19,4.6,3.6,1.0,0.2,0
20,5.1,3.3,1.7,0.5,0
21,4.8,3.4,1.9,0.2,0
22,5.0,3.0,1.6,0.2,0
23,5.0,3.4,1.6,0.4,0
24,5.2,3.5,1.5,0.2,0
25,5.2,3.4,1.4,0.2,0
26,4.7,3.2,1.6,0.2,0
27,4.8,3.1,1.6,0.2,0
28,5.4,3.4,1.5,0.4,0
29,5.2,4.1,1.5,0.1,0
30,5.5,4.2,1.4,0.2,0
31,4.9,3.1,1.5,0.1,0
32,5.0,3.2,1.2,0.2,0
33,5.5,3.5,1.3,0.2,0
34,4.9,3.1,1.5,0.1,0
35,4.4,3.0,1.3,0.2,0
36,5.1,3.4,1.5,0.2,0
37,5.0,3.5,1.3,0.3,0
38,4.5,2.3,1.3,0.3,0
39,5.1,3.8,1.9,0.4,0
40,4.8,3.0,1.4,0.3,0
41,5.1,3.8,1.6,0.2,0
42,4.6,3.2,1.4,0.2,0
43,5.3,3.7,1.5,0.2,0
44,5.0,3.3,1.4,0.2,0
45,7.0,3.2,4.7,1.4,1
46,6.4,3.2,4.5,1.5,1
47,6.9,3.1,4.9,1.5,1
48,5.5,2.3,4.0,1.3,1
49,5.7,2.8,4.5,1.3,1
50,6.3,3.3,4.7,1.6,1
51,4.9,2.4,3.3,1.0,1
52,5.2,2.7,3.9,1.4,1
53,5.0,2.0,3.5,1.0,1
54,5.9,3.0,4.2,1.5,1
55,6.0,2.2,4.0,1.0,1
56,6.1,2.9,4.7,1.4,1
57,5.6,2.9,3.6,1.3,1
58,6.7,3.1,4.4,1.4,1
59,5.6,3.0,4.5,1.5,1
60,5.8,2.7,4.1,1.0,1
61,6.2,2.2,4.5,1.5,1
62,5.6,2.5,3.9,1.1,1
63,5.9,3.2,4.8,1.8,1
64,6.1,2.8,4.0,1.3,1
65,6.3,2.5,4.9,1.5,1
66,6.1,2.8,4.7,1.2,1
67,6.4,2.9,4.3,1.3,1
68,6.6,3.0,4.4,1.4,1
69,6.7,3.0,5.0,1.7,1
70,5.7,2.6,3.5,1.0,1
71,5.5,2.4,3.8,1.1,1
72,5.5,2.4,3.7,1.0,1
73,5.8,2.7,3.9,1.2,1
74,6.0,2.7,5.1,1.6,1
75,5.4,3.0,4.5,1.5,1
76,6.7,3.1,4.7,1.5,1
77,6.3,2.3,4.4,1.3,1
78,5.6,3.0,4.1,1.3,1
79,5.5,2.5,4.0,1.3,1
80,5.5,2.6,4.4,1.2,1
81,6.1,3.0,4.6,1.4,1
82,5.8,2.6,4.0,1.2,1
83,5.0,2.3,3.3,1.0,1
84,5.6,2.7,4.2,1.3,1
85,5.7,3.0,4.2,1.2,1
86,5.7,2.9,4.2,1.3,1
87,6.2,2.9,4.3,1.3,1
