,0,1,2,3,4,5,6
0,1,1,1,1,1,1,1
1,1,1,1,1,1,2,1
2,1,1,1,1,2,2,1
3,1,1,1,1,3,1,1
4,1,1,1,1,3,2,1
5,1,1,1,1,4,1,0
6,1,1,1,1,4,2,0
7,1,1,1,2,1,1,1
8,1,1,1,2,1,2,1
9,1,1,1,2,2,1,1
10,1,1,1,2,2,2,1
11,1,1,1,2,3,1,1
12,1,1,1,2,3,2,1
13,1,1,1,2,4,1,0
14,1,1,1,2,4,2,0
15,1,1,1,3,1,1,1
16,1,1,1,3,1,2,1
17,1,1,1,3,2,2,1
18,1,1,1,3,3,1,1
19,1,1,1,3,4,1,0
20,1,1,1,3,4,2,0
21,1,1,2,1,1,1,1
22,1,1,2,1,1,2,1
23,1,1,2,1,2,2,1
24,1,1,2,1,3,1,1
25,1,1,2,1,4,1,0
26,1,1,2,1,4,2,0
27,1,1,2,2,1,1,1
28,1,1,2,2,1,2,1
29,1,1,2,2,2,1,1
30,1,1,2,2,2,2,1
31,1,1,2,2,3,1,1
32,1,1,2,2,3,2,1
33,1,1,2,2,4,1,0
34,1,1,2,2,4,2,0
35,1,1,2,3,1,1,1
36,1,1,2,3,1,2,1
37,1,1,2,3,2,1,1
38,1,1,2,3,2,2,1
39,1,1,2,3,3,1,1
40,1,1,2,3,3,2,1
41,1,1,2,3,4,1,0
42,1,1,2,3,4,2,0
43,1,2,1,1,1,1,1
44,1,2,1,1,1,2,1
45,1,2,1,1,2,1,1
46,1,2,1,1,2,2,1
47,1,2,1,1,3,1,1
48,1,2,1,1,3,2,1
49,1,2,1,1,4,1,0
50,1,2,1,2,1,1,1
51,1,2,1,2,1,2,1
52,1,2,1,2,2,1,1
53,1,2,1,2,2,2,1
54,1,2,1,2,3,1,1
55,1,2,1,2,3,2,1
56,1,2,1,2,4,1,0
57,1,2,1,2,4,2,0
58,1,2,1,3,1,1,1
59,1,2,1,3,1,2,1
60,1,2,1,3,2,1,1
61,1,2,1,3,2,2,1
62,1,2,1,3,3,1,1
63,1,2,1,3,3,2,1
64,1,2,1,3,4,1,0
65,1,2,1,3,4,2,0
66,1,2,2,1,1,1,1
67,1,2,2,1,1,2,1
68,1,2,2,1,2,1,1
69,1,2,2,1,2,2,1
70,1,2,2,1,3,1,1
71,1,2,2,1,3,2,1
72,1,2,2,1,4,1,0
73,1,2,2,1,4,2,0
74,1,2,2,2,1,2,1
75,1,2,2,2,2,1,1
76,1,2,2,2,3,1,1
77,1,2,2,2,3,2,1
78,1,2,2,2,4,1,0
79,1,2,2,2,4,2,0
80,1,2,2,3,1,1,1
81,1,2,2,3,1,2,1
82,1,2,2,3,2,1,1
83,1,2,2,3,3,1,1
84,1,2,2,3,3,2,1
85,1,2,2,3,4,2,0
86,1,3,1,1,1,1,0
87,1,3,1,1,1,2,0
88,1,3,1,1,2,1,0
89,1,3,1,1,2,2,0
90,1,3,1,1,3,1,1
91,1,3,1,1,3,2,1
92,1,3,1,1,4,1,0
93,1,3,1,1,4,2,0
94,1,3,1,2,1,1,0
95,1,3,1,2,2,1,0
96,1,3,1,2,2,2,0
97,1,3,1,2,3,2,0
98,1,3,1,2,4,1,0
99,1,3,1,3,1,1,0
100,1,3,1,3,1,2,0
101,1,3,1,3,2,1,0
102,1,3,1,3,2,2,0
103,1,3,1,3,3,1,0
104,1,3,1,3,3,2,0
105,1,3,1,3,4,1,0
106,1,3,1,3,4,2,0
107,1,3,2,1,1,1,0
108,1,3,2,1,2,1,0
109,1,3,2,1,2,2,0
110,1,3,2,1,3,1,1
111,1,3,2,1,3,2,1
112,1,3,2,1,4,1,0
113,1,3,2,1,4,2,0
114,1,3,2,2,1,1,0
115,1,3,2,2,1,2,0
116,1,3,2,2,2,1,0
117,1,3,2,2,2,2,0
118,1,3,2,2,3,1,0
119,1,3,2,2,4,1,0
120,1,3,2,2,4,2,0
121,1,3,2,3,1,1,0
122,1,3,2,3,1,2,0
123,1,3,2,3,2,1,0
124,1,3,2,3,2,2,0
125,1,3,2,3,3,1,0
126,1,3,2,3,3,2,0
127,1,3,2,3,4,1,0
128,1,3,2,3,4,2,0
129,2,1,1,1,1,1,1
130,2,1,1,1,1,2,1
131,2,1,1,1,2,1,1
132,2,1,1,1,2,2,1
133,2,1,1,1,3,1,1
134,2,1,1,1,3,2,1
135,2,1,1,1,4,1,0
136,2,1,1,1,4,2,0
137,2,1,1,2,1,1,1
138,2,1,1,2,1,2,1
139,2,1,1,2,2,1,1
140,2,1,1,2,2,2,1
141,2,1,1,2,3,1,1
142,2,1,1,2,3,2,1
143,2,1,1,2,4,1,0
144,2,1,1,2,4,2,0
145,2,1,1,3,1,2,1
146,2,1,1,3,2,1,1
147,2,1,1,3,2,2,1
148,2,1,1,3,4,1,0
149,2,1,1,3,4,2,0
150,2,1,2,1,1,1,1
151,2,1,2,1,1,2,1
152,2,1,2,1,2,2,1
153,2,1,2,1,3,1,1
154,2,1,2,1,3,2,1
155,2,1,2,1,4,1,0
156,2,1,2,1,4,2,0
157,2,1,2,2,1,1,1
158,2,1,2,2,1,2,1
159,2,1,2,2,2,1,1
160,2,1,2,2,2,2,1
161,2,1,2,2,3,1,1
162,2,1,2,2,3,2,1
163,2,1,2,2,4,1,0
164,2,1,2,2,4,2,0
165,2,1,2,3,1,1,1
166,2,1,2,3,1,2,1
167,2,1,2,3,3,1,1
168,2,1,2,3,3,2,1
169,2,1,2,3,4,1,0
170,2,2,1,1,1,2,1
171,2,2,1,1,2,1,1
172,2,2,1,1,2,2,1
173,2,2,1,1,3,1,1
174,2,2,1,1,3,2,1
175,2,2,1,1,4,1,0
176,2,2,1,1,4,2,0
177,2,2,1,2,1,1,1
178,2,2,1,2,1,2,1
179,2,2,1,2,2,2,1
180,2,2,1,2,3,1,1
181,2,2,1,2,3,2,1
182,2,2,1,2,4,1,0
183,2,2,1,3,1,1,1
184,2,2,1,3,1,2,1
185,2,2,1,3,2,1,1
186,2,2,1,3,2,2,1
187,2,2,1,3,3,1,1
188,2,2,1,3,3,2,1
189,2,2,1,3,4,1,0
190,2,2,1,3,4,2,0
191,2,2,2,1,1,1,1
192,2,2,2,1,1,2,1
193,2,2,2,1,2,1,1
194,2,2,2,1,2,2,1
195,2,2,2,1,3,1,1
196,2,2,2,1,3,2,1
197,2,2,2,1,4,1,0
198,2,2,2,1,4,2,0
199,2,2,2,2,1,1,1
200,2,2,2,2,1,2,1
201,2,2,2,2,2,1,1
202,2,2,2,2,2,2,1
203,2,2,2,2,3,1,1
204,2,2,2,2,3,2,1
205,2,2,2,2,4,1,0
206,2,2,2,2,4,2,0
207,2,2,2,3,1,1,1
208,2,2,2,3,1,2,1
209,2,2,2,3,2,1,1
210,2,2,2,3,2,2,1
211,2,2,2,3,3,1,1
212,2,2,2,3,4,1,0
213,2,2,2,3,4,2,0
214,2,3,1,1,1,1,0
215,2,3,1,1,1,2,0
216,2,3,1,1,2,1,0
217,2,3,1,1,2,2,0
218,2,3,1,1,3,1,1
219,2,3,1,1,3,2,1
220,2,3,1,1,4,1,0
221,2,3,1,1,4,2,0
222,2,3,1,2,1,1,0
223,2,3,1,2,1,2,0
224,2,3,1,2,2,2,0
225,2,3,1,2,3,1,0
226,2,3,1,2,3,2,0
227,2,3,1,2,4,2,0
228,2,3,1,3,1,1,0
229,2,3,1,3,1,2,0
230,2,3,1,3,2,1,0
231,2,3,1,3,2,2,0
232,2,3,1,3,3,1,0
233,2,3,1,3,4,1,0
234,2,3,2,1,1,1,0
235,2,3,2,1,1,2,0
236,2,3,2,1,2,1,0
237,2,3,2,1,2,2,0
238,2,3,2,1,3,1,1
239,2,3,2,1,3,2,1
240,2,3,2,1,4,1,0
241,2,3,2,1,4,2,0
242,2,3,2,2,1,1,0
243,2,3,2,2,1,2,0
244,2,3,2,2,2,1,0
245,2,3,2,2,2,2,0
246,2,3,2,2,3,2,0
247,2,3,2,2,4,1,0
248,2,3,2,2,4,2,0
249,2,3,2,3,1,1,0
250,2,3,2,3,1,2,0
251,2,3,2,3,2,1,0
252,2,3,2,3,2,2,0
253,2,3,2,3,3,1,0
254,2,3,2,3,3,2,0
255,2,3,2,3,4,1,0
256,2,3,2,3,4,2,0
257,3,1,1,1,1,1,1
258,3,1,1,1,1,2,1
259,3,1,1,1,2,1,1
260,3,1,1,1,2,2,1
261,3,1,1,1,3,1,1
262,3,1,1,1,3,2,1
263,3,1,1,1,4,1,0
264,3,1,1,1,4,2,0
265,3,1,1,2,1,2,1
266,3,1,1,2,2,1,1
267,3,1,1,2,2,2,1
268,3,1,1,2,3,1,1
269,3,1,1,2,3,2,1
270,3,1,1,2,4,1,0
271,3,1,1,2,4,2,0
272,3,1,1,3,1,1,1
273,3,1,1,3,1,2,1
274,3,1,1,3,2,1,1
275,3,1,1,3,2,2,1
276,3,1,1,3,3,1,1
277,3,1,1,3,3,2,1
278,3,1,1,3,4,1,0
279,3,1,2,1,1,1,1
280,3,1,2,1,1,2,1
281,3,1,2,1,2,1,1
282,3,1,2,1,2,2,1
283,3,1,2,1,3,2,1
284,3,1,2,1,4,1,0
285,3,1,2,1,4,2,0
286,3,1,2,2,1,1,1
287,3,1,2,2,1,2,1
288,3,1,2,2,2,1,1
289,3,1,2,2,3,1,1
290,3,1,2,2,3,2,1
291,3,1,2,2,4,2,0
292,3,1,2,3,1,1,1
293,3,1,2,3,1,2,1
294,3,1,2,3,2,1,1
295,3,1,2,3,2,2,1
296,3,1,2,3,3,1,1
297,3,1,2,3,3,2,1
298,3,1,2,3,4,2,0
299,3,2,1,1,1,1,1
300,3,2,1,1,1,2,1
301,3,2,1,1,2,1,1
302,3,2,1,1,2,2,1
303,3,2,1,1,3,1,1
304,3,2,1,1,3,2,1
305,3,2,1,1,4,1,0
306,3,2,1,1,4,2,0
307,3,2,1,2,1,1,1
308,3,2,1,2,1,2,1
309,3,2,1,2,2,1,1
310,3,2,1,2,3,1,1
311,3,2,1,2,3,2,1
312,3,2,1,2,4,1,0
313,3,2,1,2,4,2,0
314,3,2,1,3,1,1,1
315,3,2,1,3,1,2,1
316,3,2,1,3,2,1,1
317,3,2,1,3,2,2,1
318,3,2,1,3,3,1,1
319,3,2,1,3,3,2,1
320,3,2,1,3,4,1,0
321,3,2,2,1,1,1,1
322,3,2,2,1,1,2,1
323,3,2,2,1,2,1,1
324,3,2,2,1,3,1,1
325,3,2,2,1,4,2,0
326,3,2,2,2,1,1,1
327,3,2,2,2,1,2,1
328,3,2,2,2,2,1,1
329,3,2,2,2,2,2,1
330,3,2,2,2,3,1,1
331,3,2,2,2,3,2,1
332,3,2,2,2,4,2,0
333,3,2,2,3,1,1,1
334,3,2,2,3,1,2,1
335,3,2,2,3,2,1,1
336,3,2,2,3,2,2,1
337,3,2,2,3,3,1,1
338,3,2,2,3,3,2,1
339,3,2,2,3,4,1,0
340,3,2,2,3,4,2,0
341,3,3,1,1,1,1,0
342,3,3,1,1,1,2,0
343,3,3,1,1,2,1,0
344,3,3,1,1,2,2,0
345,3,3,1,1,3,1,1
346,3,3,1,1,3,2,1
347,3,3,1,1,4,1,0
348,3,3,1,2,1,1,0
349,3,3,1,2,1,2,0
350,3,3,1,2,2,1,0
351,3,3,1,2,2,2,0
352,3,3,1,2,3,1,0
353,3,3,1,2,3,2,0
354,3,3,1,2,4,1,0
355,3,3,1,2,4,2,0
356,3,3,1,3,1,1,0
357,3,3,1,3,1,2,0
358,3,3,1,3,2,1,0
359,3,3,1,3,2,2,0
360,3,3,1,3,3,1,0
361,3,3,1,3,3,2,0
362,3,3,1,3,4,1,0
363,3,3,1,3,4,2,0
364,3,3,2,1,1,1,0
365,3,3,2,1,1,2,0
366,3,3,2,1,2,1,0
367,3,3,2,1,2,2,0
368,3,3,2,1,3,1,1
369,3,3,2,1,3,2,1
370,3,3,2,1,4,1,0
371,3,3,2,1,4,2,0
372,3,3,2,2,1,1,0
373,3,3,2,2,1,2,0
374,3,3,2,2,2,1,0
375,3,3,2,2,2,2,0
376,3,3,2,2,3,1,0
377,3,3,2,2,3,2,0
378,3,3,2,2,4,1,0
379,3,3,2,2,4,2,0
380,3,3,2,3,1,1,0
381,3,3,2,3,1,2,0
382,3,3,2,3,2,1,0
383,3,3,2,3,2,2,0
384,3,3,2,3,3,1,0
385,3,3,2,3,3,2,0
386,3,3,2,3,4,1,0
387,3,3,2,3,4,2,0
388,1,1,1,1,2,1,1
389,1,1,1,3,2,1,1
390,1,1,1,3,3,2,1
391,1,1,2,1,2,1,1
392,1,1,2,1,3,2,1
393,1,2,1,1,4,2,0
394,1,2,2,2,1,1,1
395,1,2,2,2,2,2,1
396,1,2,2,3,2,2,1
397,1,2,2,3,4,1,0
398,1,3,1,2,1,2,0
399,1,3,1,2,3,1,0
400,1,3,1,2,4,2,0
401,1,3,2,1,1,2,0
402,1,3,2,2,3,2,0
403,2,1,1,3,1,1,1
404,2,1,1,3,3,1,1
405,2,1,1,3,3,2,1
406,2,1,2,1,2,1,1
407,2,1,2,3,2,1,1
408,2,1,2,3,2,2,1
409,2,1,2,3,4,2,0
410,2,2,1,1,1,1,1
411,2,2,1,2,2,1,1
412,2,2,1,2,4,2,0
413,2,2,2,3,3,2,1
414,2,3,1,2,2,1,0
415,2,3,1,2,4,1,0
416,2,3,1,3,3,2,0
417,2,3,1,3,4,2,0
418,2,3,2,2,3,1,0
419,3,1,1,2,1,1,1
420,3,1,1,3,4,2,0
421,3,1,2,1,3,1,1
422,3,1,2,2,2,2,1
423,3,1,2,2,4,1,0
424,3,1,2,3,4,1,0
425,3,2,1,2,2,2,1
426,3,2,1,3,4,2,0
427,3,2,2,1,2,2,1
428,3,2,2,1,3,2,1
429,3,2,2,1,4,1,0
430,3,2,2,2,4,1,0
431,3,3,1,1,4,2,0
