,0,1,2,3,4,5
0,107,10.1,2.2,0.9,2.7,1
1,113,9.9,3.1,2.0,5.9,1
2,127,12.9,2.4,1.4,0.6,1
3,109,5.3,1.6,1.4,1.5,1
4,105,7.3,1.5,1.5,-0.1,1
5,105,6.1,2.1,1.4,7.0,1
6,110,10.4,1.6,1.6,2.7,1
7,114,9.9,2.4,1.5,5.7,1
8,106,9.4,2.2,1.5,0.0,1
9,107,13.0,1.1,0.9,3.1,1
10,106,4.2,1.2,1.6,1.4,1
11,110,11.3,2.3,0.9,3.3,1
12,116,9.2,2.7,1.0,4.2,1
13,112,8.1,1.9,3.7,2.0,1
14,122,9.7,1.6,0.9,2.2,1
15,109,8.4,2.1,1.1,3.6,1
16,111,8.4,1.5,0.8,1.2,1
17,114,6.7,1.5,1.0,3.5,1
18,119,10.6,2.1,1.3,1.1,1
19,115,7.1,1.3,1.3,2.0,1
20,101,7.8,1.2,1.0,1.7,1
21,103,10.1,1.3,0.7,0.1,1
22,109,10.4,1.9,0.4,-0.1,1
23,102,7.6,1.8,2.0,2.5,1
24,121,10.1,1.7,1.3,0.1,1
25,100,6.1,2.4,1.8,3.8,1
26,106,9.6,2.4,1.0,1.3,1
27,116,10.1,2.2,1.6,0.8,1
28,105,11.1,2.0,1.0,1.0,1
29,110,10.4,1.8,1.0,2.3,1
30,120,8.4,1.1,1.4,1.4,1
31,116,11.1,2.0,1.2,2.3,1
32,110,7.8,1.9,2.1,6.4,1
33,90,8.1,1.6,1.4,1.1,1
34,117,12.2,1.9,1.2,3.9,1
35,117,11.0,1.4,1.5,2.1,1
36,113,9.0,2.0,1.8,1.6,1
37,106,9.4,1.5,0.8,0.5,1
38,130,9.5,1.7,0.4,3.2,1
39,100,10.5,2.4,0.9,1.9,1
40,121,10.1,2.4,0.8,3.0,1
41,110,9.2,1.6,1.5,0.3,1
42,129,11.9,2.7,1.2,3.5,1
43,121,13.5,1.5,1.6,0.5,1
44,123,8.1,2.3,1.0,5.1,1
45,107,8.4,1.8,1.5,0.8,1
46,109,10.0,1.3,1.8,4.3,1
47,120,6.8,1.9,1.3,1.9,1
48,100,9.5,2.5,1.3,-0.2,1
49,118,8.1,1.9,1.5,13.7,1
50,100,11.3,2.5,0.7,-0.3,1
51,103,12.2,1.2,1.3,2.7,1
52,115,8.1,1.7,0.6,2.2,1
53,119,8.0,2.0,0.6,3.2,1
54,106,9.4,1.7,0.9,3.1,1
55,114,10.9,2.1,0.3,1.4,1
56,93,8.9,1.5,0.8,2.7,1
57,120,10.4,2.1,1.1,1.8,1
58,106,11.3,1.8,0.9,1.0,1
59,110,8.7,1.9,1.6,4.4,1
60,103,8.1,1.4,0.5,3.8,1
61,101,7.1,2.2,0.8,2.2,1
62,115,10.4,1.8,1.6,2.0,1
63,116,10.0,1.7,1.5,4.3,1
64,117,9.2,1.9,1.5,6.8,1
65,106,6.7,1.5,1.2,3.9,1
66,118,10.5,2.1,0.7,3.5,1
67,97,7.8,1.3,1.2,0.9,1
68,113,11.1,1.7,0.8,2.3,1
69,104,6.3,2.0,1.2,4.0,1
70,96,9.4,1.5,1.0,3.1,1
71,120,12.4,2.4,0.8,1.9,1
72,133,9.7,2.9,0.8,1.9,1
73,126,9.4,2.3,1.0,4.0,1
74,113,8.5,1.8,0.8,0.5,1
75,109,9.7,1.4,1.1,2.1,1
76,119,12.9,1.5,1.3,3.6,1
77,101,7.1,1.6,1.5,1.6,1
78,108,10.4,2.1,1.3,2.4,1
79,117,6.7,2.2,1.8,6.7,1
80,115,15.3,2.3,2.0,2.0,1
81,91,8.0,1.7,2.1,4.6,1
82,103,8.5,1.8,1.9,1.1,1
83,98,9.1,1.4,1.9,-0.3,1
84,111,7.8,2.0,1.8,4.1,1
85,107,13.0,1.5,2.8,1.7,1
86,119,11.4,2.3,2.2,1.6,1
87,122,11.8,2.7,1.7,2.3,1
88,105,8.1,2.0,1.9,-0.5,1
89,109,7.6,1.3,2.2,1.9,1
90,105,9.5,1.8,1.6,3.6,1
91,112,5.9,1.7,2.0,1.3,1
92,112,9.5,2.0,1.2,0.7,1
93,98,8.6,1.6,1.6,6.0,1
94,109,12.4,2.3,1.7,0.8,1
95,114,9.1,2.6,1.5,1.5,1
96,114,11.1,2.4,2.0,-0.3,1
97,110,8.4,1.4,1.0,1.9,1
98,120,7.1,1.2,1.5,4.3,1
99,108,10.9,1.2,1.9,1.0,1
100,108,8.7,1.2,2.2,2.5,1
101,116,11.9,1.8,1.9,1.5,1
102,113,11.5,1.5,1.9,2.9,1
103,105,7.0,1.5,2.7,4.3,1
104,114,8.4,1.6,1.6,-0.2,1
105,114,8.1,1.6,1.6,0.5,1
106,105,11.1,1.1,0.8,1.2,1
107,107,13.8,1.5,1.0,1.9,1
108,116,11.5,1.8,1.4,5.4,1
109,102,9.5,1.4,1.1,1.6,1
110,116,16.1,0.9,1.3,1.5,1
111,118,10.6,1.8,1.4,3.0,1
112,109,8.9,1.7,1.0,0.9,1
113,110,7.0,1.0,1.6,4.3,1
114,104,9.6,1.1,1.3,0.8,1
115,105,8.7,1.5,1.1,1.5,1
116,102,8.5,1.2,1.3,1.4,1
117,112,6.8,1.7,1.4,3.3,1
118,111,8.5,1.6,1.1,3.9,1
119,111,8.5,1.6,1.2,7.7,1
120,103,7.3,1.0,0.7,0.5,1
121,98,10.4,1.6,2.3,-0.7,1
122,117,7.8,2.0,1.0,3.9,1
123,111,9.1,1.7,1.2,4.1,1
124,101,6.3,1.5,0.9,2.9,1
125,106,8.9,0.7,1.0,2.3,1
126,102,8.4,1.5,0.8,2.4,1
127,115,10.6,0.8,2.1,4.6,1
128,130,10.0,1.6,0.9,4.6,1
129,101,6.7,1.3,1.0,5.7,1
130,110,6.3,1.0,0.8,1.0,1
131,103,9.5,2.9,1.4,-0.1,1
132,113,7.8,2.0,1.1,3.0,1
133,112,10.6,1.6,0.9,-0.1,1
134,118,6.5,1.2,1.2,1.7,1
135,109,9.2,1.8,1.1,4.4,1
136,116,7.8,1.4,1.1,3.7,1
137,127,7.7,1.8,1.9,6.4,1
138,108,6.5,1.0,0.9,1.5,1
139,108,7.1,1.3,1.6,2.2,1
140,105,5.7,1.0,0.9,0.9,1
141,98,5.7,0.4,1.3,2.8,1
142,112,6.5,1.2,1.2,2.0,1
143,118,12.2,1.5,1.0,2.3,1
144,94,7.5,1.2,1.3,4.4,1
145,126,10.4,1.7,1.2,3.5,1
146,114,7.5,1.1,1.6,4.4,1
147,111,11.9,2.3,0.9,3.8,1
148,104,6.1,1.8,0.5,0.8,1
149,102,6.6,1.2,1.4,1.3,1
150,139,16.4,3.8,1.1,-0.2,2
151,111,16.0,2.1,0.9,-0.1,2
152,113,17.2,1.8,1.0,0.0,2
153,65,25.3,5.8,1.3,0.2,2
154,88,24.1,5.5,0.8,0.1,2
155,65,18.2,10.0,1.3,0.1,2
156,134,16.4,4.8,0.6,0.1,2
157,110,20.3,3.7,0.6,0.2,2
158,67,23.3,7.4,1.8,-0.6,2
159,95,11.1,2.7,1.6,-0.3,2
160,89,14.3,4.1,0.5,0.2,2
161,89,23.8,5.4,0.5,0.1,2
162,88,12.9,2.7,0.1,0.2,2
163,105,17.4,1.6,0.3,0.4,2
164,89,20.1,7.3,1.1,-0.2,2
165,99,13.0,3.6,0.7,-0.1,2
166,80,23.0,10.0,0.9,-0.1,2
167,89,21.8,7.1,0.7,-0.1,2
168,99,13.0,3.1,0.5,-0.1,2
169,68,14.7,7.8,0.6,-0.2,2
170,97,14.2,3.6,1.5,0.3,2
171,84,21.5,2.7,1.1,-0.6,2
172,84,18.5,4.4,1.1,-0.3,2
173,98,16.7,4.3,1.7,0.2,2
174,94,20.5,1.8,1.4,-0.5,2
175,99,17.5,1.9,1.4,0.3,2
176,76,25.3,4.5,1.2,-0.1,2
177,110,15.2,1.9,0.7,-0.2,2
178,144,22.3,3.3,1.3,0.6,2
179,105,12.0,3.3,1.1,0.0,2
180,88,16.5,4.9,0.8,0.1,2
181,97,15.1,1.8,1.2,-0.2,2
182,106,13.4,3.0,1.1,0.0,2
183,79,19.0,5.5,0.9,0.3,2
184,92,11.1,2.0,0.7,-0.2,2
185,125,2.3,0.9,16.5,9.5,3
186,120,6.8,2.1,10.4,38.6,3
187,108,3.5,0.6,1.7,1.4,3
188,120,3.0,2.5,1.2,4.5,3
189,119,3.8,1.1,23.0,5.7,3
190,141,5.6,1.8,9.2,14.4,3
191,129,1.5,0.6,12.5,2.9,3
192,118,3.6,1.5,11.6,48.8,3
193,120,1.9,0.7,18.5,24.0,3
194,119,0.8,0.7,56.4,21.6,3
195,123,5.6,1.1,13.7,56.3,3
196,115,6.3,1.2,4.7,14.4,3
197,126,0.5,0.2,12.2,8.8,3
198,121,4.7,1.8,11.2,53.0,3
199,131,2.7,0.8,9.9,4.7,3
200,134,2.0,0.5,12.2,2.2,3
201,141,2.5,1.3,8.5,7.5,3
202,113,5.1,0.7,5.8,19.6,3
203,136,1.4,0.3,32.6,8.4,3
204,120,3.4,1.8,7.5,21.5,3
205,125,3.7,1.1,8.5,25.9,3
206,123,1.9,0.3,22.8,22.2,3
207,112,2.6,0.7,41.0,19.0,3
208,134,1.9,0.6,18.4,8.2,3
209,119,5.1,1.1,7.0,40.8,3
210,118,6.5,1.3,1.7,11.5,3
211,139,4.2,0.7,4.3,6.3,3
212,103,5.1,1.4,1.2,5.0,3
213,97,4.7,1.1,2.1,12.6,3
214,102,5.3,1.4,1.3,6.7,3
