,0,1,2,3,4,5
0,1.24,0.875,-0.205,-0.078,0.067,0
1,0.268,1.352,1.035,-0.332,0.217,0
2,1.567,0.867,1.3,1.041,0.559,0
3,0.279,0.99,2.555,-0.738,0.0,0
4,0.307,1.272,2.656,-0.946,-0.467,0
5,0.96,0.712,-0.143,0.091,-0.061,0
6,2.941,0.657,1.493,-0.331,-0.123,0
7,0.401,1.159,2.064,-0.69,-0.308,0
8,0.229,1.748,0.634,0.259,0.0,0
9,0.303,0.609,0.474,1.427,-0.811,1
10,0.318,0.811,0.818,0.821,0.86,1
11,0.655,1.054,1.372,-0.724,1.77,1
12,0.105,0.576,0.342,0.83,0.0,1
13,0.541,2.145,-0.562,-0.228,-0.141,1
14,1.404,1.531,0.476,1.601,-0.424,0
15,0.532,1.963,-0.355,0.191,-0.122,0
16,0.108,0.464,1.302,1.08,-0.349,0
17,0.807,2.227,-0.556,-0.225,0.161,0
18,1.039,2.271,1.699,-0.369,-0.168,1
19,0.316,1.36,1.986,-0.624,0.497,0
20,0.136,0.736,1.847,1.073,-0.424,0
21,0.533,2.581,-0.595,-0.227,-0.123,0
22,0.151,0.642,1.454,1.281,-0.716,1
23,0.533,2.139,0.629,0.241,-0.1,0
24,0.6,1.405,2.477,-0.701,-0.272,1
25,0.699,2.295,0.67,0.403,-0.391,0
26,0.619,2.238,-0.417,-0.184,-0.125,0
27,0.111,0.299,0.404,0.694,0.0,0
28,0.648,2.479,1.064,-0.317,0.0,0
29,1.669,2.226,0.545,0.229,-0.139,0
30,0.416,1.689,0.756,-0.252,-0.145,0
31,0.06,0.225,0.119,0.264,0.912,0
32,0.492,2.604,-0.594,0.313,-0.147,0
33,0.747,1.029,1.346,-0.998,1.722,1
34,1.312,2.591,0.874,0.534,-0.175,0
35,0.121,0.311,0.588,1.978,-0.652,0
36,0.626,2.317,0.766,0.411,-0.305,0
37,2.881,0.896,0.495,0.475,-0.113,0
38,0.96,1.09,0.513,1.114,0.729,1
39,0.48,1.502,2.495,-0.692,0.402,1
40,3.386,-0.301,0.136,-0.078,-0.055,0
41,1.089,1.423,-0.387,-0.123,0.09,0
42,0.27,0.959,1.687,1.705,0.0,0
43,2.571,-0.235,0.201,0.137,-0.133,0
44,0.912,2.285,-0.449,-0.159,-0.099,0
45,0.531,2.105,-0.397,-0.201,-0.103,0
46,0.125,0.548,0.795,0.836,0.0,1
47,0.874,3.03,-0.496,0.243,0.48,0
48,0.362,0.688,1.513,0.699,0.52,1
49,0.466,2.279,1.825,0.778,-0.253,0
50,0.155,0.514,0.49,-0.625,0.0,0
51,0.311,1.493,0.423,0.304,-0.113,0
52,1.712,1.764,0.375,0.511,0.589,0
53,1.055,1.185,0.293,0.182,-0.141,0
54,0.577,3.348,-0.621,-0.245,0.0,0
55,0.266,0.711,1.002,1.138,0.536,1
56,0.273,2.018,1.768,0.697,0.0,0
57,0.423,1.781,-0.696,0.491,1.106,0
58,0.105,0.594,0.326,-0.808,0.0,1
59,3.084,0.782,-0.166,-0.088,-0.061,0
60,0.82,2.083,0.492,0.283,-0.19,0
61,0.464,1.792,2.176,-0.517,-0.327,0
62,1.093,1.692,0.445,-0.312,1.608,0
63,0.734,0.647,1.387,0.556,0.451,1
