,0,1,2,3,4,5,6,7,8,9
0,55,0,92,0,0,26,36,92,56,4
1,53,0,82,0,52,-5,29,30,2,1
2,37,0,76,0,28,18,40,48,8,1
3,37,0,79,0,34,-26,43,46,2,1
4,85,0,88,-4,6,1,3,83,80,5
5,56,0,81,0,-4,11,25,86,62,4
6,55,-1,95,-3,54,-4,40,41,2,1
7,53,8,77,0,28,0,23,48,24,4
8,37,0,101,-7,28,0,64,73,8,1
9,37,0,78,-2,12,0,42,65,24,1
10,45,0,84,0,46,20,38,37,0,1
11,38,2,77,0,38,7,39,38,0,1
12,37,0,78,0,-2,5,41,81,40,1
13,41,0,100,0,38,-8,59,61,2,1
14,41,0,89,1,38,-16,48,50,2,1
15,47,0,85,-2,46,-4,38,39,0,1
16,49,0,79,0,46,-5,30,32,2,1
17,49,3,82,0,50,4,33,33,0,1
18,37,-318,105,-2,36,-4,68,69,0,1
19,44,3,77,0,44,2,33,33,0,1
20,106,2,108,0,70,0,1,38,36,5
21,37,-5,76,0,28,0,40,48,8,1
22,49,0,100,0,50,19,52,51,0,1
23,45,-1,87,-2,44,-4,43,43,0,1
24,37,4,80,0,-2,0,43,83,40,1
25,55,-1,98,0,52,8,42,46,4,4
26,55,0,86,8,54,0,31,32,0,1
27,55,3,88,3,54,0,32,33,2,1
28,37,0,74,0,26,-1,38,48,10,1
29,37,0,106,0,36,3,68,69,2,1
30,49,0,107,0,46,-16,58,60,2,1
31,79,5,83,0,-46,0,4,130,126,5
32,51,0,79,0,52,29,28,27,0,1
33,59,4,84,0,60,24,25,24,0,1
34,37,0,108,0,30,-21,71,77,6,1
35,56,3,97,0,46,9,41,51,10,4
36,39,5,77,0,38,0,37,38,0,1
37,51,-5,81,0,52,0,30,30,0,1
38,49,0,77,0,46,-9,29,31,2,1
39,46,2,77,0,44,-19,32,34,2,1
40,56,0,81,0,56,0,24,24,0,1
41,56,0,79,0,16,3,23,63,40,4
42,37,0,105,0,34,4,68,71,4,1
43,76,0,81,-2,-40,13,5,122,118,5
44,56,0,80,0,56,7,24,23,0,1
45,41,2,76,0,42,11,35,35,0,1
46,41,1,85,0,38,0,44,46,2,1
47,56,-4,97,0,52,-2,41,45,4,4
48,49,0,95,1,50,2,46,46,0,1
49,37,2,76,0,36,0,38,39,2,1
50,56,1,99,0,50,16,42,49,8,4
51,56,-4,88,0,56,0,31,31,0,1
52,37,-3,81,-2,38,-9,43,42,0,1
53,47,0,84,4,46,0,38,38,0,1
54,41,1,86,2,42,14,45,45,0,1
55,53,3,81,0,54,0,27,26,0,1
56,47,5,79,0,46,0,32,32,0,1
57,104,7,105,7,70,0,1,35,34,5
58,101,-3,102,-4,72,0,1,29,28,5
59,45,0,86,0,44,-17,41,42,2,1
60,42,4,77,0,42,1,35,35,0,1
61,45,0,79,0,44,-4,34,35,2,1
62,37,0,80,0,36,15,43,44,2,1
63,56,0,96,-1,44,0,40,52,12,4
64,56,0,81,0,-10,-3,25,92,66,4
65,42,0,83,2,42,0,41,42,2,1
66,51,1,88,0,52,7,37,37,0,1
67,49,3,82,0,46,-8,33,35,2,1
68,41,1,86,3,42,6,45,45,0,1
69,37,0,77,0,336,4910,41,-258,-298,1
70,49,0,84,0,46,-4,36,38,2,1
71,37,-1,77,-3,34,-6,40,43,2,1
72,41,0,79,0,38,-23,38,41,2,1
73,51,0,79,0,52,2,27,27,0,1
74,55,-1,79,-4,20,-12,24,59,34,4
75,41,0,77,0,42,5,37,36,0,1
76,46,-3,80,0,46,0,34,34,0,1
77,56,0,79,0,-2,-24,24,82,58,4
78,44,0,82,-1,44,0,38,38,0,1
79,45,0,83,0,46,31,37,36,0,1
80,37,0,77,-1,36,4,40,41,0,1
81,37,0,75,-1,36,0,38,39,0,1
82,37,1,77,-2,34,0,40,43,2,1
83,51,0,79,0,50,-6,28,30,2,1
84,46,-4,76,-1,46,0,29,29,0,1
85,49,0,77,5,50,5,28,28,0,1
86,45,0,108,0,44,-3,62,64,2,1
87,42,0,79,-2,42,0,36,37,2,1
88,37,0,78,0,20,-10,41,57,16,1
89,37,0,76,-3,36,-10,39,40,2,1
90,53,5,84,0,52,-5,31,32,2,1
91,38,4,76,0,38,4,38,37,0,1
92,40,0,80,0,38,-2,40,41,2,1
93,47,2,95,3,46,0,48,49,0,1
94,45,0,79,5,44,0,34,35,2,1
95,41,-1,86,0,42,0,45,45,0,1
96,55,0,95,0,36,13,40,59,20,4
97,56,0,95,0,56,15,40,39,0,1
98,51,-3,83,0,50,-14,32,33,2,1
99,37,0,75,0,34,10,38,41,2,1
100,37,0,75,0,28,16,38,46,8,1
101,81,-2,84,0,-18,-30,4,103,98,5
102,43,0,95,-4,42,-4,52,54,2,1
103,41,0,84,2,42,25,43,43,0,1
104,49,0,87,-7,46,-25,38,41,2,1
105,49,0,83,0,46,-14,34,37,2,1
106,37,-3,77,0,20,0,40,56,16,1
107,81,0,84,0,-12,29,4,97,94,5
108,55,1,84,0,54,-1,29,30,2,1
109,55,0,96,0,46,23,41,50,8,4
110,42,0,81,-2,42,-4,39,39,0,1
111,79,0,83,0,-40,3,4,125,120,5
112,59,-5,84,0,60,6,25,24,0,1
113,56,-3,87,0,56,0,31,30,0,1
114,55,0,82,1,-10,0,26,92,66,4
115,56,0,92,0,-2,-4,36,95,58,4
116,46,0,80,0,46,0,34,34,0,1
117,56,0,78,0,8,-19,22,70,48,4
118,37,0,83,0,34,7,47,50,2,1
119,37,0,77,0,2,17,40,74,34,1
120,53,-1,87,-5,52,-10,34,35,2,1
121,37,-1,79,-4,36,-6,42,43,2,1
122,44,-1,82,-4,44,0,38,38,0,1
123,48,-3,95,0,46,-4,47,49,2,1
124,42,5,79,5,42,0,37,38,0,1
125,37,0,106,-1,34,0,68,72,4,1
126,37,0,81,5,36,-3,43,44,2,1
127,44,-4,82,-3,44,0,38,38,0,1
128,45,0,83,0,46,19,38,37,0,1
129,55,2,83,-2,54,0,28,29,0,1
130,55,0,77,0,-14,-4,21,92,70,4
131,41,3,78,0,38,-1,37,39,2,1
132,37,0,78,-5,8,0,41,70,30,1
133,57,3,91,0,56,0,34,34,0,1
134,37,0,76,0,38,14,38,37,0,1
135,37,0,77,0,8,-8,41,70,28,1
136,37,0,76,-5,28,6,39,47,8,1
137,49,4,84,0,50,2,35,35,0,1
138,37,0,77,5,-12,-10,41,90,50,1
139,50,-4,85,0,50,0,35,36,2,1
140,51,-2,87,0,52,5,36,35,0,1
141,37,0,93,0,12,7,56,81,24,1
142,56,0,82,1,54,-12,26,28,2,1
143,43,0,81,3,42,-4,38,40,2,1
144,55,-2,108,0,54,-3,52,53,2,1
145,37,0,81,-1,36,-18,43,44,2,1
146,45,-1,78,-3,44,-5,33,34,2,1
147,41,0,77,7,38,0,36,38,2,1
148,48,1,87,0,46,0,39,41,2,1
149,43,0,81,0,44,15,37,37,0,1
150,56,0,96,0,52,-3,40,44,4,4
151,37,0,92,0,24,3,55,69,14,1
152,46,1,83,0,44,-9,37,39,2,1
153,49,-2,77,3,46,-30,28,30,2,1
154,45,0,83,0,44,2,38,39,0,1
155,56,0,81,0,-20,-4,25,102,76,4
156,48,-3,109,-6,46,0,61,62,2,1
157,37,0,83,0,34,5,46,49,4,1
158,50,-4,83,0,50,0,33,34,2,1
159,47,-2,75,0,46,0,28,28,0,1
160,48,1,81,-1,46,0,33,34,2,1
161,55,0,82,0,-42,-9,26,126,100,4
162,50,3,107,0,50,0,57,58,0,1
163,38,0,102,-4,34,0,65,69,4,1
164,37,0,106,17,28,0,69,77,8,1
165,37,0,77,0,-6,-19,41,85,44,1
166,37,0,79,0,26,-22,42,53,12,1
167,43,0,84,0,44,13,41,41,0,1
168,36,-1,81,0,36,0,45,45,0,1
169,45,1,80,0,46,31,35,34,0,1
170,55,0,78,0,0,-3,23,78,56,4
171,58,5,88,0,56,0,30,31,2,1
172,48,0,88,-4,46,0,40,41,2,1
173,105,-1,106,2,70,0,2,36,34,5
174,54,-1,86,-1,54,-2,32,32,0,1
175,56,4,96,0,52,10,40,44,4,4
176,79,2,83,0,-42,-19,4,126,122,5
177,37,0,97,0,24,-30,60,73,14,1
178,46,-3,109,2,46,0,63,63,0,1
179,37,0,78,0,16,-11,42,63,22,1
180,37,0,78,0,12,-10,41,65,24,1
181,56,0,78,5,-22,0,22,101,80,4
182,55,0,83,5,-24,0,27,108,82,4
183,54,2,80,0,54,0,26,26,0,1
184,55,0,77,-2,28,0,21,48,28,4
185,37,0,104,-9,28,0,67,75,8,1
186,55,-1,79,0,16,0,23,63,40,4
187,43,-3,86,0,42,-16,42,44,2,1
188,41,-1,89,0,38,-14,48,50,2,1
189,39,0,107,-2,38,0,68,68,0,1
190,46,0,107,0,46,4,61,60,0,1
191,37,4,76,0,34,-10,39,43,4,1
192,44,1,76,0,44,8,32,32,0,1
193,53,0,79,0,54,14,26,24,0,1
194,44,0,81,-1,44,5,37,37,0,1
195,56,3,99,0,38,0,43,60,18,4
196,56,0,93,-7,50,0,37,44,6,4
197,37,0,75,-2,34,0,38,41,2,1
198,52,4,84,-1,52,-2,31,32,0,1
199,80,0,85,6,-40,10,5,126,122,5
200,37,0,76,0,36,4,39,40,2,1
201,55,0,92,0,-4,22,36,97,60,4
202,44,2,75,0,44,11,31,31,0,1
203,43,-5,83,0,42,-9,39,41,2,1
204,41,-1,76,0,38,-24,35,37,2,1
205,45,0,86,0,44,-10,41,42,2,1
206,55,0,77,0,6,-11,22,72,50,4
207,67,-2,110,0,68,0,43,43,0,1
208,37,-67,106,0,36,31,69,69,0,1
209,56,0,108,0,54,-14,52,53,2,1
210,42,0,86,-3,42,0,44,44,0,1
211,56,0,84,0,54,-19,28,30,2,1
212,38,2,80,0,38,4,42,41,0,1
213,45,0,86,0,44,-3,41,42,2,1
214,44,0,83,-1,44,0,38,39,0,1
215,45,-2,83,0,44,-7,37,39,2,1
216,53,-1,88,0,54,4,35,34,0,1
217,51,0,83,0,52,19,31,31,0,1
