,0,1,2,3,4,5,6,7,8
0,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22,6
1,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22,6
2,0.64,0.62,0.49,0.15,0.5,0.0,0.53,0.22,6
3,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,7
4,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22,6
5,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,0
6,0.5,0.54,0.48,0.65,0.5,0.0,0.53,0.22,6
7,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,7
8,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,6
9,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,0
10,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,7
11,0.42,0.37,0.59,0.2,0.5,0.0,0.52,0.29,7
12,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,0
13,0.6,0.4,0.52,0.46,0.5,0.0,0.53,0.22,6
14,0.66,0.55,0.45,0.19,0.5,0.0,0.46,0.22,6
15,0.46,0.44,0.52,0.11,0.5,0.0,0.5,0.22,0
16,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,0
17,0.58,0.47,0.54,0.11,0.5,0.0,0.51,0.26,7
18,0.5,0.34,0.55,0.21,0.5,0.0,0.49,0.22,7
19,0.61,0.6,0.55,0.21,0.5,0.0,0.5,0.25,7
20,0.45,0.4,0.5,0.16,0.5,0.0,0.5,0.22,0
21,0.43,0.44,0.48,0.22,0.5,0.0,0.51,0.22,0
22,0.73,0.63,0.42,0.3,0.5,0.0,0.49,0.22,0
23,0.43,0.53,0.52,0.13,0.5,0.0,0.55,0.22,0
24,0.46,0.53,0.52,0.15,0.5,0.0,0.58,0.22,0
25,0.51,0.51,0.52,0.51,0.5,0.0,0.54,0.22,6
26,0.57,0.47,0.6,0.18,0.5,0.0,0.51,0.22,0
27,0.63,0.67,0.57,0.24,0.5,0.0,0.49,0.22,6
28,0.53,0.54,0.43,0.1,0.5,0.0,0.57,0.32,7
29,0.51,0.51,0.43,0.87,0.5,0.0,0.52,0.22,6
30,0.38,0.61,0.61,0.12,0.5,0.0,0.53,0.47,0
31,0.33,0.55,0.51,0.43,0.5,0.0,0.51,0.22,7
32,0.78,0.74,0.42,0.26,0.5,0.0,0.43,0.22,3
33,0.74,0.67,0.47,0.34,0.5,0.0,0.42,0.22,2
34,0.4,0.45,0.57,0.18,0.5,0.0,0.56,0.26,0
35,0.59,0.53,0.43,0.44,0.5,0.0,0.5,0.22,6
36,0.57,0.53,0.53,0.34,0.5,0.0,0.53,0.22,6
37,0.86,0.68,0.39,0.24,0.5,0.0,0.54,0.22,4
38,0.79,0.57,0.41,0.28,0.5,0.0,0.59,0.22,4
39,0.41,0.54,0.39,0.2,0.5,0.0,0.51,0.22,5
40,0.37,0.36,0.56,0.18,0.5,0.0,0.48,0.26,9
41,0.53,0.31,0.58,0.39,0.5,0.0,0.47,0.37,7
42,0.74,0.75,0.58,0.47,0.5,0.0,0.4,0.35,4
43,0.74,0.57,0.51,0.28,0.5,0.0,0.58,0.22,9
44,0.42,0.24,0.34,0.16,0.5,0.0,0.5,0.22,5
45,0.48,0.39,0.51,0.21,0.5,0.0,0.52,0.28,0
46,0.41,0.53,0.45,0.14,0.5,0.0,0.52,0.66,5
47,0.45,0.46,0.55,0.43,0.5,0.0,0.55,0.38,7
48,0.64,0.59,0.56,0.23,0.5,0.0,0.46,0.22,0
49,0.64,0.56,0.56,0.22,0.5,0.0,0.45,0.22,0
50,0.66,0.62,0.49,0.1,0.5,0.0,0.49,0.22,0
51,0.53,0.44,0.51,0.33,0.5,0.0,0.55,0.22,0
52,0.38,0.49,0.53,0.19,0.5,0.0,0.5,0.22,0
53,0.45,0.58,0.48,0.67,0.5,0.0,0.52,0.22,6
54,0.43,0.35,0.52,0.52,0.5,0.0,0.54,0.22,6
55,0.37,0.32,0.47,0.18,0.5,0.0,0.45,0.25,7
56,0.48,0.43,0.51,0.32,0.5,0.0,0.52,0.43,7
57,0.41,0.46,0.59,0.19,0.5,0.0,0.58,0.27,7
58,0.54,0.48,0.44,0.08,0.5,0.0,0.52,0.27,0
59,0.6,0.47,0.45,0.22,0.5,0.0,0.51,0.29,0
60,0.34,0.46,0.57,0.09,0.5,0.0,0.55,0.22,0
61,0.48,0.54,0.55,0.12,0.5,0.0,0.51,0.22,0
62,0.47,0.39,0.59,0.15,0.5,0.0,0.57,0.22,0
63,0.81,0.85,0.47,0.37,0.5,0.0,0.56,0.22,2
64,0.6,0.5,0.44,0.61,0.5,0.0,0.47,0.22,6
65,0.45,0.55,0.54,0.66,0.5,0.0,0.47,0.22,6
66,0.46,0.49,0.58,0.23,0.5,0.0,0.44,0.22,6
67,0.49,0.42,0.56,0.55,0.5,0.0,0.42,0.25,6
68,0.63,0.53,0.54,0.4,0.5,0.0,0.5,0.22,6
69,0.5,0.54,0.53,0.54,0.5,0.0,0.51,0.27,6
70,0.48,0.45,0.55,0.5,0.5,0.0,0.53,0.22,6
71,0.5,0.58,0.46,0.46,0.5,0.0,0.46,0.22,6
72,0.51,0.54,0.6,0.57,0.5,0.0,0.58,0.22,6
73,0.54,0.52,0.63,0.37,0.5,0.0,0.46,0.22,6
74,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,6
75,0.28,0.58,0.21,0.13,0.5,0.0,0.51,0.22,5
76,0.39,0.44,0.35,0.16,0.5,0.0,0.55,0.22,5
77,0.8,0.63,0.45,0.29,0.5,0.0,0.51,0.22,2
78,0.5,0.52,0.59,0.3,0.5,0.0,0.51,0.35,7
79,0.42,0.47,0.52,0.41,0.5,0.0,0.53,0.32,0
80,0.46,0.38,0.47,0.22,0.5,0.0,0.52,0.27,6
81,0.4,0.45,0.56,0.2,0.5,0.0,0.45,0.22,0
82,0.33,0.43,0.64,0.16,0.5,0.0,0.52,0.52,7
83,0.49,0.61,0.49,0.25,0.5,0.0,0.5,0.28,0
84,0.38,0.5,0.37,0.26,0.5,0.0,0.43,0.22,5
85,0.69,0.7,0.52,0.36,0.5,0.0,0.46,0.22,2
86,0.61,0.72,0.39,0.33,0.5,0.0,0.58,0.22,6
87,0.78,0.75,0.4,0.28,0.5,0.0,0.53,0.22,6
88,0.64,0.57,0.57,0.27,0.5,0.0,0.37,0.22,0
89,0.36,0.58,0.35,0.24,0.5,0.0,0.44,0.22,5
90,0.36,0.43,0.39,0.12,0.5,0.0,0.49,0.22,5
91,0.47,0.52,0.5,0.4,0.5,0.0,0.41,0.22,0
92,0.47,0.39,0.55,0.24,0.5,0.0,0.47,0.22,0
93,0.44,0.59,0.36,0.16,0.5,0.0,0.52,0.22,5
94,0.3,0.56,0.55,0.18,0.5,0.0,0.5,0.22,0
95,0.65,0.65,0.52,0.16,0.5,0.0,0.6,0.22,0
96,0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,8
97,0.44,0.52,0.41,0.23,0.5,0.0,0.51,0.22,7
98,0.3,0.32,0.57,0.19,0.5,0.0,0.48,0.55,7
99,0.45,0.51,0.5,0.16,0.5,0.0,0.52,1.0,7
100,0.45,0.45,0.5,0.6,0.5,0.0,0.49,0.22,6
101,0.59,0.67,0.56,0.41,0.5,0.0,0.47,0.22,6
