,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
1,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
2,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
3,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
6,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
7,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
8,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
9,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
10,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
11,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
12,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
13,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
14,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
15,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
16,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
17,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
18,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
19,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
20,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
21,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
22,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
23,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
24,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
25,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
26,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
